,TF,target,importance
1118,ZIC2,ZNF2,2.633307929780615
1039,PKNOX2,HOXA6,2.6323581208730458
1061,ZFHX3,RFX6,2.632119978193441
1089,RFX3,NFRKB,2.6293149990319153
397,KLF11,GTF2IRD2B,2.626724012906151
634,ZNF615,LYAR,2.6267084495997906
592,ZFHX2,ZNF555,2.6240759201741573
445,OSR2,ZSCAN5A,2.6172397122386855
929,MXD1,TFAP2E,2.613254716581471
1137,JDP2,ZNF554,2.611800566240431
506,PATZ1,ZNF487,2.6087127692008583
717,MTA2,ZNF331,2.608564975564397
18,FOS,ZNF532,2.607075592617603
420,SMAD3,FOXN2,2.606856954663334
79,ZNF511,ZNF814,2.6061881614569895
948,ZNF780A,ZNF333,2.6053826909974642
199,ZNF404,ZNF467,2.604763925968893
250,ZBTB34,MTA3,2.60173502364674
232,ZNF768,SUB1,2.6014363818958013
204,ZGLP1,ZNF792,2.6014088768544843
1092,HOXA10,IRX2,2.6012813815965834
1069,ZNF528,ZNF518B,2.6012225726739233
1026,MECOM,POU5F1,2.600846242330148
1045,TP73,ZNF449,2.598807260993204
665,ZNF212,BAZ2B,2.5980310596909373
62,HOXB6,ZNF70,2.5975951874422023
559,WIZ,PHTF1,2.5972618985161953
853,MAX,ZBTB11,2.595281548595576
1149,TBX2,FOXD4,2.5945569026853024
582,ZNF879,GMEB1,2.5926852211769713
990,GATAD2B,HSF1,2.5924813426196613
886,ZNF597,ZNF302,2.592284485236969
876,ZNF215,POU5F1B,2.5897946539594887
1003,CASZ1,PLAG1,2.5892477756402505
377,ZBTB10,GRHL2,2.5889422692938506
807,ZNF493,ZNF700,2.5866637409223188
960,ZNF629,THAP8,2.586164770034251
621,PBX2,ZNF473,2.586041872210348
1005,GATA2,KLF2,2.585311636749142
600,ZNF761,ZKSCAN8,2.5837458755961387
1090,ZNF782,ZBTB22,2.5815629744774835
113,MEF2C,THAP5,2.5809939892374127
379,ZNF395,DLX1,2.577191818855813
1185,E2F2,ZNF345,2.5751265295034496
942,ZNF674,ZNF18,2.5748932227204757
1064,ZNF132,GTF2IRD2B,2.5744522050493197
831,SIM2,ZNF317,2.5738264573406533
494,ZNF746,ZNF232,2.5720150949242093
83,HMGA1,RUNX1,2.571350459844071
1145,RUNX1,TSHZ1,2.569627561070579
406,MXD4,ZNF354C,2.568170597417728
1085,ZNF850,OSR2,2.5677710375912737
